date,activity,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,call,circumplex.arousal,circumplex.valence,mood,screen,sms
2014-02-17,,,,,,,,,,,,,,4.111111111111111,,,,,2.4444444444444446
2014-02-18,,,,,,,,,,,,,,3.526315789473684,,,,,1.8333333333333333
2014-02-19,,,,,,,,,,,,,,4.2105263157894735,,,,,3.1818181818181817
2014-02-20,,,,,,,,,,,,,,3.0588235294117645,,,,,3.125
2014-02-21,,,,,,,,,,,,,,4.166666666666667,,,,,1.6153846153846154
2014-02-22,,,,,,,,,,,,,,3.4444444444444446,,,,,4.928571428571429
2014-02-23,,,,,,,,,,,,,,2.5,,,,,2.5
2014-02-24,,,,,,,,,,,,,,3.4705882352941178,,,,,2.25
2014-02-25,,,,,,,,,,,,,,4.266666666666667,,,,,2.7
2014-02-26,,,,,,,,,,,,,,4.133333333333334,-0.25,0.75,6.25,,2.625
2014-02-27,,,,,,,,,,,,,,3.526315789473684,0.0,0.3333333333333333,6.333333333333333,,2.8333333333333335
2014-02-28,,,,,,,,,,,,,,3.0,,,,,3.8
2014-03-01,,,,,,,,,,,,,,4.0,,,,,2.1
2014-03-02,,,,,,,,,,,,,,3.0,,,,,2.0
2014-03-03,,,,,,,,,,,,,,3.9375,,,,,3.5
2014-03-04,,,,,,,,,,,,,,3.6842105263157894,0.5,2.0,7.0,,1.8
2014-03-05,,,,,,,,,,,,,,3.736842105263158,0.3333333333333333,0.8333333333333333,7.166666666666666,,1.7272727272727273
2014-03-06,,,,,,,,,,,,,,3.6315789473684212,-0.04999999999999999,0.675,7.225,,2.875
2014-03-07,,,,,,,,,,,,,,3.95,0.675,1.1,7.45,,2.8181818181818183
2014-03-08,,,,,,,,,,,,,,5.642857142857143,0.2,0.9,7.3,,3.3333333333333335
2014-03-09,,,,,,,,,,,,,,3.4,-0.09999999999999998,1.1,7.2,,2.0
2014-03-10,,,,,,,,,,,,,,4.473684210526316,-0.16666666666666669,0.6333333333333333,7.066666666666666,,2.6
2014-03-11,,,,,,,,,,,,,,3.466666666666667,0.2,0.4,6.4,,2.25
2014-03-12,,,,,,,,,,,,,,5.823529411764706,0.4,0.6,6.7,,2.0
2014-03-13,,8.728188888888889,41.75703535353535,36.754,,,,36.415237499999996,103.79191666666668,,,13.062,,4.352941176470588,-0.4375,0.9625,7.2125,53.82407407407405,3.0
2014-03-14,,14.666020878503028,28.73696248044966,23.414184615384613,,,,54.08595570987654,32.79768495879121,98.9527792207792,25.749571428571425,8.127666666666666,,5.6875,-0.10833333333333334,1.1416666666666666,7.516666666666667,54.532122319927254,2.5833333333333335
2014-03-15,,19.106609110536183,36.97115125679189,42.642785728314244,8.0384,,17.086,19.200929569892473,199.97035,15.7125,18.6877,10.32925,,4.071428571428571,0.125,0.3666666666666667,6.375,50.4202549952843,2.3846153846153846
2014-03-16,,18.88809735778841,53.51789489262977,45.78218779342723,19.082,,,22.33841572681704,31.90073006535948,,25.6675,12.652750000000001,,2.5,-0.7305555555555555,0.38055555555555554,6.472222222222222,75.02607760688723,1.75
2014-03-17,0.06354175543644278,13.212189106997114,71.74673540669855,256.43458125,,,,14.557460217391304,191.84873571428574,59.037000000000006,3.5340000000000003,6.350833333333334,,2.4,-0.08333333333333333,0.4166666666666667,6.391666666666667,50.04148303572462,1.375
2014-03-18,0.1067641414658859,12.173276949008846,69.39955987074764,239.19536252587994,22.1,,45.186,24.62181002661934,41.45692082834928,47.276,33.231625,12.16075,,4.095238095238095,0.20833333333333334,0.8333333333333334,7.1499999999999995,144.5396190316544,1.4
2014-03-19,0.1294919726564683,13.550742185571545,45.07989335330733,101.1307638888889,,,,40.38625,64.4293611111111,23.457653125,18.074388888888887,8.3215,,4.0588235294117645,0.028571428571428574,0.9357142857142857,6.992857142857143,62.442733369141145,1.8
2014-03-20,0.10913823064393989,53.5278295062506,47.769455160050505,95.58939595959595,3.504636363636364,31.647,228.138,17.76471616809117,51.02195507216096,,201.9045,8.384,,4.375,0.12833333333333333,0.63,6.616666666666667,91.37159402077339,2.2
2014-03-21,0.12368414491526165,45.523428572355655,69.33814734956972,84.84031786059687,54.7855,,16.482440000000004,27.261440444245675,56.88717863801054,47.39996923076923,15.45,16.21057777777778,,4.052631578947368,0.19333333333333333,0.8311111111111111,6.934444444444444,96.85632132880399,1.9
2014-03-22,0.1456647951920292,16.831315536537147,53.09342682398004,90.11929260386539,26.93,,4.436333333333333,24.27184082115801,53.198255215126125,80.63904918890634,104.98500595238096,11.820878205128205,3.02,6.857142857142857,-0.14375,0.5322916666666667,6.728125,71.53913074133833,1.8888888888888888
2014-03-23,0.10362953411871012,16.360946474396258,72.05510098492373,75.8054768235814,35.018437500000005,,40.4995,47.45419391571969,66.45747610247808,30.857470943396226,30.518425,13.99187,86.23616666666668,2.769230769230769,-0.020588235294117626,0.7147058823529412,7.002941176470588,92.35856546672409,2.1818181818181817
2014-03-24,0.11337171359682197,20.54493310556786,39.709086244993344,71.59108489846948,15.704141666666667,445.804,19.48023333333333,29.129768953131496,58.59754628482309,47.87972013888889,181.4017939393939,35.4889375,15.07,3.533333333333333,-0.11018518518518519,0.47870370370370374,6.783333333333333,70.68649991170372,2.125
2014-03-25,0.10338635231801084,19.39885797724358,47.58294402952205,92.90636112234674,53.029606666666666,115.79533333333332,77.5883143939394,31.713376764771986,54.929497033410485,47.532,33.541069444444446,19.164061080586084,17.433,3.5833333333333335,-0.16666666666666666,0.6370370370370371,6.769444444444444,76.61414301236249,1.9
2014-03-26,0.14746025783383326,14.72292923354459,43.936332596270944,112.09976285388576,27.512866666666667,44.9755,66.6134,28.988389988601824,65.66709999851933,42.239747863247864,35.691325,17.921983333333333,6.087,4.944444444444445,0.027777777777777776,0.6722222222222222,6.933333333333334,97.40370751108858,2.0
2014-03-27,0.1295986308738445,19.401370403886652,50.95748880415599,136.43407308308377,15.510722222222222,160.28046666666665,19.38825,18.59004851851852,59.4987524410486,61.028166666666664,157.92909305555557,9.564165281385282,14.396,3.611111111111111,-0.07105263157894737,0.6526315789473685,6.92017543859649,84.69154805464859,3.8
2014-03-28,0.14431865814587092,21.138363955829035,39.826400912987545,98.51928196333118,30.443125,78.61337499999999,24.72202777777778,22.92286810493428,63.082346987806574,32.442855721033354,35.37065578231293,14.318823611111112,,5.45,-0.09473684210526316,0.8842105263157896,7.097368421052631,73.97215443460642,4.0
2014-03-29,0.18247261407504825,20.867872791797737,33.439172829796036,98.77212478325245,25.916613636363635,271.8671197183099,117.09299999999999,13.272846009700176,56.92609233767348,32.243472619047616,14.548185185185185,17.127006944444442,,4.352941176470588,-0.20087719298245613,0.9842105263157894,7.400877192982456,72.40442466527843,2.0
2014-03-30,0.13636286889195123,43.97051648310025,34.86820953407981,86.67277484104208,21.601,418.4581875,35.265,18.985625,71.09513559861192,46.01500000000001,48.70668888888889,22.036311111111115,8.873541666666666,3.3125,-0.26842105263157895,0.7973684210526316,7.0131578947368425,72.77228370847246,2.25
2014-03-31,0.1141291619947777,24.80611320226538,35.91481093345442,81.85125238471554,24.76383333333333,39.49494444444445,16.270333333333333,13.753290056022408,73.55740556424436,97.27138478087817,19.3413125,16.680020016339867,,4.142857142857143,-0.14250000000000002,0.6591666666666667,6.906666666666666,65.45533613191115,2.75
2014-04-01,0.17300786925872116,21.48698514662344,39.431602933038086,83.19627290506484,40.18202314814815,336.4697,56.019792307692306,18.585614572310405,60.752697273897624,47.39096626984127,98.87314444444445,11.317825462962963,,3.210526315789474,-0.1761904761904762,0.7047619047619048,7.033333333333333,71.68077678288381,2.8333333333333335
2014-04-02,0.14609625392341977,19.95814700072298,39.220984367026865,85.00920023444498,19.149968567251463,56.2043,40.033497940207155,17.47393480294409,46.71308358405878,57.99176636904762,14.81213888888889,12.966300416666666,38.9595,4.166666666666667,-0.18768115942028984,0.6094202898550725,6.868115942028986,118.3510505183113,2.125
2014-04-03,0.13392945313778803,79.47864167158103,36.79568680378426,110.82108229147397,16.45564880952381,42.61986666666667,48.351350000000004,15.019280244755244,54.95965266217002,38.35668467412217,58.39483333333334,12.79271821036107,29.228333333333335,2.4210526315789473,-0.1527777777777778,0.6749999999999999,7.01875,71.78293318830276,2.5
2014-04-04,0.12789761077305317,15.920629627918416,37.44541080609704,110.12178219133023,27.67495138888889,195.37246296296294,18.922881193693694,17.354869498556997,70.63914281085647,48.17057339296553,106.0103,51.142125554837314,28.765,3.761904761904762,-0.16874999999999998,0.6444444444444445,7.039583333333333,70.53495763456866,2.5454545454545454
2014-04-05,0.1456900128481524,21.45097078535017,36.075324902432705,54.759979844968264,8.604055555555556,112.95443200549451,18.44999537037037,15.855411989154636,65.3374211693475,29.210166600529103,23.27505,12.70357203907204,5.05,4.2105263157894735,0.13125,0.8590277777777778,7.329166666666667,63.6595712977662,2.142857142857143
2014-04-06,0.1010993850926658,20.67614735114517,52.19421532324218,87.69234302805525,39.36625,139.94762666666665,10.767162962962963,21.158515646258504,64.20886386002886,58.42194363636363,19.53801388888889,7.878960000000001,18.670666666666666,3.066666666666667,-0.41944444444444445,0.6020833333333334,6.875,94.83122694101692,2.8
2014-04-07,0.1250612487415034,16.55096572402652,44.273374077688764,104.5129473012614,20.226519047619046,177.4774,12.319886842105264,21.863513714460144,75.37423416433468,48.66428148148148,25.863541666666663,17.00561527777778,28.130541666666666,3.357142857142857,-0.07152777777777779,0.5833333333333334,6.822916666666667,87.76268951611856,2.25
2014-04-08,0.1023130779651858,66.28279512825686,38.83205717060026,81.46541582089029,35.29898611111111,247.0732357142857,241.5075601190476,15.659372987184078,67.19010348335347,30.858629999999998,17.235507034632032,18.768241477272728,10.050875,3.4705882352941178,0.017999999999999995,0.6559999999999999,7.056,62.179600190301116,1.7272727272727273
2014-04-09,0.13538330261608025,26.725078045325432,37.943722729971405,81.01873573054898,20.203027777777777,130.71702777777776,82.19623529208195,54.50663046953048,62.61391786074729,47.84569845559845,24.150666666666666,22.295175793650795,26.3665,5.066666666666666,-0.05533333333333334,0.674,7.115333333333333,95.73668267621618,2.2
2014-04-10,0.13387754776887492,21.126651663557407,38.5424168667066,113.43780525866123,18.988,116.08615277777777,19.598688685208597,25.546632961603613,85.15026391899187,43.791372159452074,1158.7975,11.860191904761905,23.6205,2.933333333333333,0.16666666666666669,0.75,7.134666666666667,77.71490498178666,2.3076923076923075
2014-04-11,0.15370858390186878,25.084976314867095,33.38002232845293,106.04021859800869,21.4321,117.8250875,26.879081926863574,14.231992320873571,72.72741702769721,39.987285048125635,42.11072222222222,23.739419934640527,9.068,4.444444444444445,0.14466666666666667,0.6459999999999999,7.013333333333334,65.94537835170661,2.5555555555555554
2014-04-12,0.11267993149492667,66.62400903617163,52.7449421503207,153.22244893624583,21.618055555555557,236.45474305555558,17.863368493150684,17.266290755772005,97.37141132081086,30.209252197802197,41.22080833333333,14.185239057017546,15.085666666666667,4.0,0.03533333333333334,0.8079999999999999,7.286666666666666,92.83932656734324,2.7
2014-04-13,0.1123205690727177,20.796344298924186,39.36807726917289,74.48412472720742,10.60525,207.25469444444443,25.615596463266545,26.878502940998395,75.04674637720879,35.511204365079365,31.84716666666667,17.106488095238095,27.761166666666668,4.444444444444445,-0.24861111111111112,0.7333333333333334,7.102083333333333,76.28687660845046,1.4285714285714286
2014-04-14,0.10540718030972392,19.856692260953317,43.28462457036713,75.08280867924304,12.805133333333334,113.48632386363637,35.77724107142857,34.39585868238042,58.905004668403784,28.0065992481203,55.177600000000005,16.968725878102315,21.575499999999998,3.8,-0.05,0.662,7.032,71.14244192032942,1.8888888888888888
2014-04-15,0.11743937453665229,25.49445420289054,39.90387117897719,44.99596266835361,41.12853418803419,77.37317757936508,65.6043981292517,26.608757814916654,62.47805776826369,39.29783333333334,12.75308888888889,10.458195547309833,27.675,4.176470588235294,-0.27692307692307694,0.6397435897435897,6.894230769230769,65.98026346962453,1.3846153846153846
2014-04-16,0.12988205992727275,32.488017469525275,43.852202499143566,76.65040274959252,13.143360000000001,70.07047222222222,38.32683053688769,14.546592397666435,77.21648918538033,48.37230593795094,46.427930555555555,14.077254166666666,22.3255,3.6666666666666665,0.016666666666666677,0.6228395061728395,7.008024691358025,66.77274696338704,2.4615384615384617
2014-04-17,0.12861781099380612,26.79873387452424,44.81654307852541,104.77758251819574,35.17648412698413,180.37658333333334,28.55134717761331,23.49899383910534,63.41700722876009,61.37127537112011,47.725292857142854,7.807706100217865,,2.6315789473684212,-0.18518518518518517,0.6296296296296297,6.803703703703703,79.72902054377947,2.4444444444444446
2014-04-18,0.10324145277255778,29.96142374190341,48.55014237798768,171.53265922908201,13.085760476190476,169.1383125,45.40821049552299,19.279543554131056,65.20293102337176,46.28981634199135,24.56815,12.914563395225466,35.589,3.4705882352941178,-0.3425925925925926,0.5648148148148148,6.716666666666667,104.102376393698,3.090909090909091
2014-04-19,0.14162131807120934,23.501523625324868,39.75449509606139,61.29412540875475,8.516222222222222,133.38803703703704,94.0255824829932,23.726475687086428,65.84874863735575,62.57660416666666,20.989280612244897,15.202493898809523,7.051,2.5294117647058822,0.0608974358974359,0.7711538461538462,7.243589743589744,70.61354186960673,1.5
2014-04-20,0.11378479489358632,30.554135970361184,50.305444858798325,62.93391786222141,5.303,129.0125666666667,62.99080227272727,12.919453699466057,84.23605182776993,29.544816666666666,46.028,12.554362390135116,26.2995,4.0,-0.18397435897435896,0.7480769230769231,7.065384615384615,98.17497851124271,1.8
2014-04-21,0.08388593122575935,20.44376533250895,55.10543149074197,104.68844045078458,29.51013333333333,36.28313,22.505028361344536,28.94810950336114,240.59646329334825,55.13898611111111,137.1908775510204,9.51420608974359,29.676916666666667,2.6153846153846154,-0.2759259259259259,0.6925925925925925,7.0055555555555555,99.56686984175006,3.5
2014-04-22,0.12061211289755175,22.620472770619045,46.402310599088416,179.94504239615492,8.552333333333335,35.9625,24.608524911816577,14.158815945165946,75.5423762333102,46.459918434343436,111.50915,20.857051925770307,9.014083333333334,5.117647058823529,-0.12051282051282051,0.6775641025641026,6.817948717948719,85.60009980808908,2.9285714285714284
2014-04-23,0.11204390914128,15.769376160885084,38.84399880765164,86.79256056837302,35.04458928571428,68.90779166666667,29.32873012675484,15.7414348984349,66.3982760431292,50.228761942959004,91.87021296296297,47.38469090909091,15.732400000000002,2.95,-0.08148148148148147,0.6407407407407407,6.7975308641975305,79.27233788640851,1.3846153846153846
2014-04-24,0.12186659743170516,23.531834102669993,42.51915792704103,107.82267834101755,25.273694285714285,445.30061666666666,23.007764884508163,18.70280767099567,60.84826338682057,36.06923742603551,39.86626190476191,23.036570505385072,18.41355,3.8333333333333335,-0.06234567901234568,0.688888888888889,7.048765432098765,85.97296469335802,3.4285714285714284
2014-04-25,0.1322604978459742,22.15511356956887,49.553851532467405,175.67044115199292,19.843016666666667,110.49063541666666,51.432741666666665,14.695993882275133,63.524388922658176,102.62146527777777,23.891211875843453,11.236940422322776,22.04103472222222,6.0,0.01604938271604939,0.745679012345679,7.076543209876543,66.23940060305218,2.6666666666666665
2014-04-26,0.22223516085559744,56.58600985631585,38.324176319973375,66.0513275918939,41.49047916666667,15.36325,10.782998522458628,16.793799609187108,119.60628586781264,90.517883495671,44.22094642857143,8.648667857142858,18.111629999999998,6.625,0.003999999999999997,0.9026666666666666,7.405333333333333,70.03000880147154,2.5384615384615383
2014-04-27,0.08689300996840998,24.84211229962794,47.36919037477299,173.7440332350763,50.2435,29.263611111111107,9.5929325,31.366896875,102.02771359058951,51.982821984126986,32.044835858585856,22.47347751322751,38.449305555555554,2.6153846153846154,-0.29551282051282046,0.7403846153846154,7.0576923076923075,120.238853246006,1.8
2014-04-28,0.11173543773124267,16.809366252068802,54.85842466905629,86.28190079674079,28.67106944444444,253.25093333333334,32.02416145124717,38.71683783511175,63.645862373433346,41.989187996031745,14.4395,11.278078571428571,9.393666666666666,3.9411764705882355,-0.15266666666666664,0.7113333333333334,7.126666666666666,93.86392517883397,2.5555555555555554
2014-04-29,0.10416403519986474,18.547252221287824,46.41597959921418,83.94574481868449,38.376374285714284,220.39343333333335,14.389203003003004,13.275797577927124,72.59953286546535,52.74819659863946,33.94000333333334,10.694283555041451,12.851333333333335,4.0,-0.14066666666666666,0.662,6.9079999999999995,71.93519974296942,4.285714285714286
2014-04-30,0.11161514433352565,-6.386857269344549,48.05767642194489,72.40480596686814,46.389833333333335,26.219833333333337,35.633650793650794,35.02047450396825,71.71120484497796,43.98018543430254,30.490685714285714,39.78598653198653,5.067,3.2,-0.16987179487179485,0.625,6.880128205128205,92.19884100872497,2.25
2014-05-01,0.11771966756136198,19.3999579483355,58.37089346365905,103.83289849704585,20.119386538461537,226.8027711111111,19.566308653846153,15.693582695746283,100.66883361390856,43.150594999999996,29.2671,37.071279396202925,27.6605,5.909090909090909,-0.2846666666666667,0.6926666666666667,7.097333333333333,79.66472351106125,2.0
2014-05-02,0.15149999302372275,21.11556232094979,42.1998271653199,67.9286871729915,20.756402356902356,96.98494166666666,54.19326113283372,18.934906964285712,78.09952951440076,52.27475408163265,40.119586734693875,11.399900757575757,9.5885,4.142857142857143,-0.17028985507246375,0.7999999999999999,7.152898550724638,75.91432371802298,3.5
2014-05-03,0.14212646114359537,18.47034140036742,46.17158182321507,64.50739287261395,22.897072916666666,34.678629629629626,97.57041860465117,10.615098593073593,71.60688190266977,398.4257833333333,26.082940476190476,36.576118055555554,43.93,3.1875,-0.11811594202898551,0.7021739130434782,7.084782608695652,71.23866669890965,2.0
2014-05-04,0.1128866341156129,17.161244191234506,46.661404305542035,77.90480848001363,29.127,373.16044444444447,35.05791313131313,15.513920753968254,74.97842024087541,30.837353333333333,85.09095,16.310603571428572,28.1645,3.0,-0.30069444444444443,0.7868055555555555,7.301388888888888,82.84173498174049,2.5
2014-05-05,0.05754754105014861,45.549405198977915,41.16042109198512,79.02722622549449,8.62975,139.26816666666667,16.928759174311928,13.01569412878788,100.53983896520147,52.075421717171714,112.99883333333332,28.02992872807018,21.407,8.714285714285714,-0.2717391304347826,0.6666666666666667,6.869565217391305,94.96913044554924,7.0
2014-05-06,0.12053880698920004,15.102012074206085,53.770993268899254,89.01615833424015,3.33725,84.28666666666666,16.29888112113402,12.417006153846154,96.05557040049618,35.311699999999995,76.30381666666668,35.042875,28.913999999999998,2.7777777777777777,,,,109.64913615580934,1.3333333333333333
2014-05-07,0.07260751347909224,21.119064215417097,34.946898102321164,47.94550299523495,24.808,98.96515277777776,27.197296428571427,26.928284393939396,61.82323547736985,36.12291666666667,24.74066666666667,3.0039,6.214333333333333,2.1666666666666665,-0.0763888888888889,0.3833333333333333,6.808333333333334,77.77990871591291,2.25
2014-05-08,0.06638294708567692,22.968113126336263,61.612978799852335,48.16632534852629,,84.5432,15.497126984126984,12.4958,87.73828956105439,41.04161111111111,90.08436363636363,4.7993125,12.107071428571428,4.8,-0.015151515151515159,0.6136363636363636,6.863636363636363,84.83730751785913,1.6666666666666667
2014-05-09,0.07457175211735828,27.86253929420951,50.15160380393416,110.52006275593774,21.777666666666665,11.935,23.0567125,26.594316666666668,108.71116960725678,12.0330625,48.784,11.98225,24.8295,4.25,0.08809523809523807,0.5071428571428571,6.792857142857143,103.31313040831184,3.0
2014-05-10,0.10190246546228843,14.419061796792832,47.0067463570845,33.35009088888889,,19.600250000000003,9.309194444444444,11.259525396825396,109.29897502951765,35.8938431372549,339.493,8.855666666666666,14.57525,4.666666666666667,0.07380952380952378,0.65,7.254761904761905,98.7965842904362,1.0
2014-05-11,0.05341788321496657,13.366768195824585,51.201009593732465,17.30704861111111,,,5.794734042553191,14.150127777777778,70.89123913630229,30.981499999999997,3.403,,12.616024999999999,5.0,-0.14285714285714285,0.4857142857142857,6.807142857142857,92.84347222473514,1.5
2014-05-12,0.08223000318305478,12.731122646692489,60.68885263268488,51.95364705882353,,31.254,21.167898923444973,15.42206111111111,61.437365659340664,10.643,61.368,13.042125,31.067,1.3333333333333333,-0.19285714285714287,0.6428571428571429,7.0,153.2465517377667,6.0
2014-05-13,0.10007476395955985,14.50920184567554,64.74296956076245,41.58246666666666,,4.6930000000000005,6.151771739130435,24.874546666666664,56.014876227919466,3.0675,2.008,10.836999999999998,,2.0,0.5083333333333333,0.5916666666666667,6.916666666666667,101.55261860536939,4.5
2014-05-14,0.08939047174402553,23.421557269630192,80.58612323232323,54.95400178571428,,,7.171,11.387575,94.96461167402929,23.2,,6.0994,,4.0,0.14444444444444446,0.35833333333333334,6.688888888888889,112.80046956232025,1.5
2014-05-15,0.10611198521538567,11.513338538576463,80.82182390415785,52.799352941176465,,,39.219,10.980633333333335,59.387610947712425,46.5724,2.007,15.532700000000002,,8.0,0.31666666666666665,0.43333333333333335,6.466666666666666,136.98158918516535,3.0
2014-05-16,0.0602265247937294,13.376884147334147,35.250134947509316,39.56484523809524,,,,9.974855555555555,69.85232741773132,,,12.1875,,5.333333333333333,0.3333333333333333,0.9333333333333332,7.133333333333333,75.94484319842402,
2014-05-17,0.051719825337900205,12.14073547453394,36.91239303519062,92.54452777777779,,,,8.876116666666666,88.55829545454547,54.498,,33.46875,,2.0,0.11666666666666665,0.611111111111111,7.0,117.06784413726528,1.0
2014-05-18,0.04627852687788656,12.887398388648387,62.892740729112155,46.98222222222222,,,,10.970533333333334,84.45272883235486,,219.6265,14.941,,3.0,-0.13333333333333333,0.5333333333333333,6.8,163.5685215833137,2.0
2014-05-19,0.030704442111732264,6.019282420627366,40.87782700352869,76.90666666666665,,,,12.468366666666666,87.25761057692307,,,,,1.5,-0.11666666666666668,0.65,7.0,115.53084039584137,1.0
2014-05-20,0.060443911919895205,9.247480336981559,55.97218844482237,91.4552,,,,9.947899999999999,104.24479479400908,106.591,26.98675,,,5.0,-0.3,0.7666666666666666,6.95,175.56421810776078,1.0
2014-05-21,0.06566422164358958,8.97809010045242,44.92217783291977,50.00526666666667,,,,10.600311111111111,123.47115481481482,,,1.3363333333333334,8.031,5.0,-0.08888888888888886,0.3333333333333333,6.3999999999999995,119.02647499516604,2.0
2014-05-22,0.06571672218793344,10.206099803679118,37.512717395340196,91.48816666666666,,,,12.627,54.18054988321654,,,14.299,8.066,2.6666666666666665,0.3,0.4833333333333334,6.316666666666666,82.67917191055086,2.0
2014-05-23,0.045283629750880135,13.238728263146868,46.830605491000235,136.7555,,,,10.825342857142857,158.48232756132757,27.2115,11.469666666666669,,,1.3333333333333333,-0.2777777777777778,0.19999999999999998,6.277777777777778,120.86855167736512,1.0
2014-05-24,0.054848128609283904,10.065565784124152,34.24926336902774,85.72242857142857,,,,43.5563888888889,57.57682300660911,40.60925,,23.201,,2.0,-0.31666666666666665,0.6833333333333332,7.066666666666666,100.46744548645626,
2014-05-25,0.11231038675073853,17.206178132584057,32.285300499706054,133.48533333333333,,,,8.94718888888889,58.16080621693121,72.582,,12.12275,,2.0,-0.3333333333333333,0.7777777777777778,7.083333333333333,121.31361336616543,1.0
2014-05-26,0.057530270438272635,8.283049013440992,37.88477968083291,181.46645,,,130.53,13.4277,87.11087049634666,,,,19.7616,4.333333333333333,0.20000000000000004,0.6666666666666666,6.533333333333334,149.1723361437956,2.0
2014-05-27,0.0347464621537599,15.895119196489786,52.09690116514691,55.8677,,,,11.844183333333334,67.723161352657,,51.333,22.926166666666667,16.3955,2.0,-0.033333333333333326,0.2888888888888889,6.066666666666666,115.19952637197434,1.5
2014-05-28,0.09360788376648314,23.792429397150354,42.137818601698626,58.14185714285714,,,44.738625,16.934876023391812,79.49616526374861,64.46008333333333,,5.111,15.360083333333334,6.333333333333333,0.19999999999999998,0.4333333333333333,6.733333333333333,125.70237392945235,2.5
2014-05-29,0.07216589998393656,9.375294888981985,37.214554824561404,68.369,,,,7.799166666666667,104.36678611111113,0.939,,1.5995,,5.0,-0.5777777777777778,0.8666666666666667,7.133333333333333,79.47320589891932,1.0
2014-05-30,0.1142927184733953,11.681592542863045,51.52890404040404,37.17428571428571,,,,9.780100000000001,47.39522985347986,37.59457142857143,2.6906666666666665,9.020583333333335,,8.0,-0.3333333333333333,0.26666666666666666,6.866666666666667,92.52047618156689,
2014-05-31,0.2125195620196316,15.407463768115942,48.03815384615385,,,,,7.019,,,,,,,-0.5,1.0,7.0,31.575518515374934,
2014-06-01,0.0473627517853799,12.162519083969466,115.4657,,,,,11.581285714285714,94.996,,,,,5.0,-1.0,0.6666666666666666,6.833333333333333,56.324955042828314,
2014-06-02,0.0390477390072355,11.834325,70.68531428571428,21.205,,,,7.375666666666667,49.741812499999995,,,8.29325,,1.0,0.3333333333333333,1.0,6.75,124.12747222185132,
2014-06-03,0.0914769431418569,11.526992700729926,50.47817948717949,,,,,7.720999999999999,37.2825,,,2.5362,,1.0,0.4,1.0,7.8,91.81938027663968,9.0
2014-06-04,0.046384854695459,9.522432432432431,56.44332911392405,,,,,7.7548,17.2345,,,,,1.0,0.5,1.0,7.0,93.2832499912807,1.0
2014-06-05,0.1523427216624797,13.994216,25.914081081081083,,,,,9.472,19.10711111111111,75.24566666666668,,,,11.0,0.0,1.0,7.0,40.196423716464295,
2014-06-06,0.1894759745721429,6.568736111111111,38.88463636363636,,,,,9.1035,,,,2.072,,16.0,0.5,1.0,7.5,47.95319297857452,
2014-06-07,0.0818932379421677,125.68744999999998,27.257962962962964,,,,,6.214,53.425,,,,,,-1.0,,8.0,128.61344184431928,2.0
2014-06-08,0.0795101802403203,19.521611111111113,187.7575,,,,,9.0345,190.76,,,,,,-1.5,1.0,6.5,161.59971421105527,
2014-06-09,0.25,,,,,,,,,,,,,,,,,,
